2024-02-19 20:52:50,545 INFO    MainThread:1044 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_setup.py:_flush():76] Configure stats pid to 1044
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_setup.py:_flush():76] Loading settings from /home/0k9d0h1/.config/wandb/settings
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_setup.py:_flush():76] Loading settings from /home/0k9d0h1/piggyback/piggyback-NLP/src/wandb/settings
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/temp.py', 'program_abspath': '/home/0k9d0h1/piggyback/piggyback-NLP/src/temp.py', 'program': '/home/0k9d0h1/piggyback/piggyback-NLP/src/temp.py'}
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_init.py:_log_setup():526] Logging user logs to /home/0k9d0h1/piggyback/piggyback-NLP/src/wandb/offline-run-20240219_205250-5llgblev/logs/debug.log
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_init.py:_log_setup():527] Logging internal logs to /home/0k9d0h1/piggyback/piggyback-NLP/src/wandb/offline-run-20240219_205250-5llgblev/logs/debug-internal.log
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_init.py:init():566] calling init triggers
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'datasets': 's2orc', 'model': 'bert-base-uncased', 'train_ln': False, 'epoch': 5, 'seed': 1}
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_init.py:init():616] starting backend
2024-02-19 20:52:50,546 INFO    MainThread:1044 [wandb_init.py:init():620] setting up manager
2024-02-19 20:52:50,548 INFO    MainThread:1044 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-19 20:52:50,550 INFO    MainThread:1044 [wandb_init.py:init():628] backend started and connected
2024-02-19 20:52:50,556 INFO    MainThread:1044 [wandb_init.py:init():720] updated telemetry
2024-02-19 20:52:50,568 INFO    MainThread:1044 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-19 20:52:50,575 INFO    MainThread:1044 [wandb_init.py:init():804] starting run threads in backend
2024-02-19 20:52:54,619 INFO    MainThread:1044 [wandb_run.py:_console_start():2233] atexit reg
2024-02-19 20:52:54,619 INFO    MainThread:1044 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-19 20:52:54,619 INFO    MainThread:1044 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-19 20:52:54,620 INFO    MainThread:1044 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-19 20:52:54,621 INFO    MainThread:1044 [wandb_init.py:init():847] run started, returning control to user process
2024-02-19 20:53:17,478 WARNING MsgRouterThr:1044 [router.py:message_loop():77] message_loop has been closed
